lakeid,metric,sampledate,year,daynum
WI,secchi_min,2015-05-12,2015,132
WI,secchi_min,2016-04-27,2016,118
WI,secchi_min,2017-07-12,2017,193
WI,secchi_min,2018-08-21,2018,233
WI,secchi_min,2019-08-07,2019,219
AL,secchi_springmax,1982-07-05,1982,186
AL,secchi_springmax,1983-07-05,1983,186
AL,secchi_springmax,1984-06-21,1984,173
AL,secchi_springmax,1985-07-11,1985,192
AL,secchi_springmax,1986-06-18,1986,169
AL,secchi_springmax,1987-05-18,1987,138
AL,secchi_springmax,1988-06-07,1988,159
AL,secchi_springmax,1989-05-29,1989,149
AL,secchi_springmax,1990-05-30,1990,150
AL,secchi_springmax,1991-05-21,1991,141
AL,secchi_springmax,1992-06-01,1992,153
AL,secchi_springmax,1993-06-04,1993,155
AL,secchi_springmax,1994-06-06,1994,157
AL,secchi_springmax,1995-07-10,1995,191
AL,secchi_springmax,1996-06-27,1996,179
AL,secchi_springmax,1997-07-02,1997,183
AL,secchi_springmax,1998-06-17,1998,168
AL,secchi_springmax,1999-05-17,1999,137
AL,secchi_springmax,2000-05-04,2000,125
AL,secchi_springmax,2001-05-29,2001,149
AL,secchi_springmax,2002-06-03,2002,154
AL,secchi_springmax,2003-05-29,2003,149
AL,secchi_springmax,2004-05-24,2004,145
AL,secchi_springmax,2005-05-31,2005,151
AL,secchi_springmax,2006-05-30,2006,150
AL,secchi_springmax,2007-05-21,2007,141
AL,secchi_springmax,2008-06-02,2008,154
AL,secchi_springmax,2009-06-08,2009,159
AL,secchi_springmax,2010-04-27,2010,117
AL,secchi_springmax,2011-06-13,2011,164
AL,secchi_springmax,2012-05-14,2012,135
AL,secchi_springmax,2013-06-10,2013,161
AL,secchi_springmax,2014-06-17,2014,168
AL,secchi_springmax,2015-05-05,2015,125
AL,secchi_springmax,2016-06-06,2016,158
AL,secchi_springmax,2017-05-03,2017,123
AL,secchi_springmax,2018-06-25,2018,176
AL,secchi_springmax,2019-06-18,2019,169
BM,secchi_springmax,1982-06-21,1982,172
BM,secchi_springmax,1983-06-06,1983,157
BM,secchi_springmax,1984-06-20,1984,172
BM,secchi_springmax,1985-05-30,1985,150
BM,secchi_springmax,1986-05-19,1986,139
BM,secchi_springmax,1987-05-21,1987,141
BM,secchi_springmax,1988-05-25,1988,146
BM,secchi_springmax,1989-05-31,1989,151
BM,secchi_springmax,1990-05-31,1990,151
BM,secchi_springmax,1991-06-05,1991,156
BM,secchi_springmax,1992-06-03,1992,155
BM,secchi_springmax,1993-06-02,1993,153
BM,secchi_springmax,1994-06-13,1994,164
BM,secchi_springmax,1995-06-13,1995,164
BM,secchi_springmax,1996-07-10,1996,192
BM,secchi_springmax,1997-06-17,1997,168
BM,secchi_springmax,1998-05-04,1998,124
BM,secchi_springmax,1999-05-18,1999,138
BM,secchi_springmax,2000-05-30,2000,151
BM,secchi_springmax,2001-05-31,2001,151
BM,secchi_springmax,2002-06-18,2002,169
BM,secchi_springmax,2003-06-09,2003,160
BM,secchi_springmax,2004-06-08,2004,160
BM,secchi_springmax,2005-05-31,2005,151
BM,secchi_springmax,2006-05-19,2006,139
BM,secchi_springmax,2007-04-25,2007,115
BM,secchi_springmax,2008-06-23,2008,175
BM,secchi_springmax,2009-06-23,2009,174
BM,secchi_springmax,2010-05-25,2010,145
BM,secchi_springmax,2011-05-05,2011,125
BM,secchi_springmax,2012-04-30,2012,121
BM,secchi_springmax,2013-06-24,2013,175
BM,secchi_springmax,2014-06-16,2014,167
BM,secchi_springmax,2015-05-19,2015,139
BM,secchi_springmax,2016-05-09,2016,130
BM,secchi_springmax,2017-05-16,2017,136
BM,secchi_springmax,2018-05-29,2018,149
BM,secchi_springmax,2019-06-03,2019,154
CB,secchi_springmax,1982-07-06,1982,187
CB,secchi_springmax,1983-06-23,1983,174
CB,secchi_springmax,1984-07-04,1984,186
CB,secchi_springmax,1985-05-02,1985,122
CB,secchi_springmax,1986-06-17,1986,168
CB,secchi_springmax,1987-06-03,1987,154
CB,secchi_springmax,1988-05-11,1988,132
CB,secchi_springmax,1989-05-30,1989,150
CB,secchi_springmax,1990-05-30,1990,150
CB,secchi_springmax,1991-07-02,1991,183
CB,secchi_springmax,1992-05-21,1992,142
CB,secchi_springmax,1993-06-03,1993,154
CB,secchi_springmax,1994-06-06,1994,157
CB,secchi_springmax,1995-06-02,1995,153
CB,secchi_springmax,1996-06-13,1996,165
CB,secchi_springmax,1997-06-19,1997,170
CB,secchi_springmax,1998-05-19,1998,139
CB,secchi_springmax,1999-05-19,1999,139
CB,secchi_springmax,2000-04-17,2000,108
CB,secchi_springmax,2001-07-11,2001,192
CB,secchi_springmax,2002-06-18,2002,169
CB,secchi_springmax,2003-05-27,2003,147
CB,secchi_springmax,2004-07-08,2004,190
CB,secchi_springmax,2005-06-29,2005,180
CB,secchi_springmax,2006-05-03,2006,123
CB,secchi_springmax,2007-05-08,2007,128
CB,secchi_springmax,2008-06-05,2008,157
CB,secchi_springmax,2009-05-27,2009,147
CB,secchi_springmax,2010-06-08,2010,159
CB,secchi_springmax,2011-07-11,2011,192
CB,secchi_springmax,2012-05-30,2012,151
CB,secchi_springmax,2013-06-26,2013,177
CB,secchi_springmax,2014-07-15,2014,196
CB,secchi_springmax,2015-06-16,2015,167
CB,secchi_springmax,2016-06-08,2016,160
CB,secchi_springmax,2017-05-18,2017,138
CB,secchi_springmax,2018-06-13,2018,164
CB,secchi_springmax,2019-06-17,2019,168
CR,secchi_springmax,1982-07-06,1982,187
CR,secchi_springmax,1983-06-06,1983,157
CR,secchi_springmax,1984-07-04,1984,186
CR,secchi_springmax,1985-05-29,1985,149
CR,secchi_springmax,1986-06-05,1986,156
CR,secchi_springmax,1987-06-22,1987,173
CR,secchi_springmax,1988-04-26,1988,117
CR,secchi_springmax,1989-06-29,1989,180
CR,secchi_springmax,1990-05-31,1990,151
CR,secchi_springmax,1991-06-20,1991,171
CR,secchi_springmax,1992-07-06,1992,188
CR,secchi_springmax,1993-06-02,1993,153
CR,secchi_springmax,1994-06-30,1994,181
CR,secchi_springmax,1995-07-13,1995,194
CR,secchi_springmax,1996-07-09,1996,191
CR,secchi_springmax,1997-07-15,1997,196
CR,secchi_springmax,1998-07-01,1998,182
CR,secchi_springmax,1999-06-17,1999,168
CR,secchi_springmax,2000-06-28,2000,180
CR,secchi_springmax,2001-06-13,2001,164
CR,secchi_springmax,2002-06-20,2002,171
CR,secchi_springmax,2003-06-11,2003,162
CR,secchi_springmax,2004-07-09,2004,191
CR,secchi_springmax,2005-06-29,2005,180
CR,secchi_springmax,2006-07-13,2006,194
CR,secchi_springmax,2007-07-04,2007,185
CR,secchi_springmax,2008-07-02,2008,184
CR,secchi_springmax,2009-07-08,2009,189
CR,secchi_springmax,2010-06-02,2010,153
CR,secchi_springmax,2011-07-14,2011,195
CR,secchi_springmax,2012-06-21,2012,173
CR,secchi_springmax,2013-05-14,2013,134
CR,secchi_springmax,2014-07-03,2014,184
CR,secchi_springmax,2015-07-01,2015,182
CR,secchi_springmax,2016-06-08,2016,160
CR,secchi_springmax,2017-07-12,2017,193
CR,secchi_springmax,2018-05-15,2018,135
CR,secchi_springmax,2019-06-19,2019,170
FI,secchi_springmax,1996-05-27,1996,148
FI,secchi_springmax,1997-06-10,1997,161
FI,secchi_springmax,1998-05-27,1998,147
FI,secchi_springmax,1999-05-24,1999,144
FI,secchi_springmax,2000-04-26,2000,117
FI,secchi_springmax,2001-05-08,2001,128
FI,secchi_springmax,2002-05-22,2002,142
FI,secchi_springmax,2003-05-28,2003,148
FI,secchi_springmax,2004-04-27,2004,118
FI,secchi_springmax,2005-06-09,2005,160
FI,secchi_springmax,2006-05-18,2006,138
FI,secchi_springmax,2007-05-18,2007,138
FI,secchi_springmax,2008-04-18,2008,109
FI,secchi_springmax,2009-05-04,2009,124
FI,secchi_springmax,2010-05-27,2010,147
FI,secchi_springmax,2011-05-19,2011,139
FI,secchi_springmax,2012-05-31,2012,152
FI,secchi_springmax,2013-05-08,2013,128
FI,secchi_springmax,2014-05-29,2014,149
FI,secchi_springmax,2015-05-12,2015,132
FI,secchi_springmax,2016-05-12,2016,133
FI,secchi_springmax,2017-05-05,2017,125
FI,secchi_springmax,2018-06-01,2018,152
FI,secchi_springmax,2019-05-03,2019,123
ME,secchi_springmax,1995-06-06,1995,157
ME,secchi_springmax,1996-05-04,1996,125
ME,secchi_springmax,1997-05-13,1997,133
ME,secchi_springmax,1998-05-11,1998,131
ME,secchi_springmax,1999-04-26,1999,116
ME,secchi_springmax,2000-04-25,2000,116
ME,secchi_springmax,2001-05-07,2001,127
ME,secchi_springmax,2002-05-20,2002,140
ME,secchi_springmax,2003-05-13,2003,133
ME,secchi_springmax,2004-05-10,2004,131
ME,secchi_springmax,2005-05-09,2005,129
ME,secchi_springmax,2006-04-04,2006,94
ME,secchi_springmax,2007-05-14,2007,134
ME,secchi_springmax,2008-05-28,2008,149
ME,secchi_springmax,2009-06-09,2009,160
ME,secchi_springmax,2010-05-24,2010,144
ME,secchi_springmax,2011-06-13,2011,164
ME,secchi_springmax,2012-05-01,2012,122
ME,secchi_springmax,2013-06-10,2013,161
ME,secchi_springmax,2014-06-09,2014,160
ME,secchi_springmax,2015-06-08,2015,159
ME,secchi_springmax,2016-05-11,2016,132
ME,secchi_springmax,2017-05-30,2017,150
ME,secchi_springmax,2018-06-11,2018,162
ME,secchi_springmax,2019-05-28,2019,148
MO,secchi_springmax,1995-05-23,1995,143
MO,secchi_springmax,1996-06-10,1996,162
MO,secchi_springmax,1997-04-21,1997,111
MO,secchi_springmax,1998-05-11,1998,131
MO,secchi_springmax,1999-04-30,1999,120
MO,secchi_springmax,2000-04-25,2000,116
MO,secchi_springmax,2001-05-09,2001,129
MO,secchi_springmax,2002-05-21,2002,141
MO,secchi_springmax,2003-05-27,2003,147
MO,secchi_springmax,2004-05-11,2004,132
MO,secchi_springmax,2005-05-10,2005,130
MO,secchi_springmax,2006-05-03,2006,123
MO,secchi_springmax,2007-05-21,2007,141
MO,secchi_springmax,2008-05-14,2008,135
MO,secchi_springmax,2009-05-28,2009,148
MO,secchi_springmax,2010-05-25,2010,145
MO,secchi_springmax,2011-05-17,2011,137
MO,secchi_springmax,2012-05-03,2012,124
MO,secchi_springmax,2013-05-15,2013,135
MO,secchi_springmax,2014-05-15,2014,135
MO,secchi_springmax,2015-05-13,2015,133
MO,secchi_springmax,2016-05-23,2016,144
MO,secchi_springmax,2017-05-04,2017,124
MO,secchi_springmax,2018-05-15,2018,135
MO,secchi_springmax,2019-05-29,2019,149
SP,secchi_springmax,1982-06-23,1982,174
SP,secchi_springmax,1983-06-21,1983,172
SP,secchi_springmax,1984-07-16,1984,198
SP,secchi_springmax,1985-07-10,1985,191
SP,secchi_springmax,1986-06-30,1986,181
SP,secchi_springmax,1987-06-29,1987,180
SP,secchi_springmax,1988-05-24,1988,145
SP,secchi_springmax,1989-07-10,1989,191
SP,secchi_springmax,1990-06-26,1990,177
SP,secchi_springmax,1991-06-19,1991,170
SP,secchi_springmax,1992-06-15,1992,167
SP,secchi_springmax,1993-06-14,1993,165
SP,secchi_springmax,1994-06-01,1994,152
