lakeid,metric,sampledate,year,daynum
TB,totpuf_epiMax,2017-04-19,2017,109
TB,doc_epiMax,2018-11-06,2018,310
TB,totpuf_epiMax,2018-05-16,2018,136
TR,doc_epiMax,1985-08-20,1985,232
TR,doc_epiMax,1986-08-12,1986,224
TR,totpuf_epiMax,1986-04-22,1986,112
TR,doc_epiMax,1987-08-10,1987,222
TR,totpuf_epiMax,1987-11-03,1987,307
TR,doc_epiMax,1988-08-15,1988,228
TR,totpuf_epiMax,1988-09-14,1988,258
TR,doc_epiMax,1989-08-23,1989,235
TR,totpuf_epiMax,1989-11-13,1989,317
TR,doc_epiMax,1990-09-18,1990,261
TR,totpuf_epiMax,1990-05-02,1990,122
TR,doc_epiMax,1991-07-31,1991,212
TR,totpuf_epiMax,1991-06-04,1991,155
TR,doc_epiMax,1992-08-24,1992,237
TR,totpuf_epiMax,1992-06-03,1992,155
TR,doc_epiMax,1993-06-01,1993,152
TR,totpuf_epiMax,1993-10-18,1993,291
TR,doc_epiMax,1994-06-28,1994,179
TR,totpuf_epiMax,1994-11-15,1994,319
TR,doc_epiMax,1995-07-26,1995,207
TR,totpuf_epiMax,1995-07-26,1995,207
TR,doc_epiMax,1996-08-05,1996,218
TR,totpuf_epiMax,1996-08-05,1996,218
TR,doc_epiMax,1997-07-30,1997,211
TR,totpuf_epiMax,1997-11-11,1997,315
TR,doc_epiMax,1998-06-16,1998,167
TR,totpuf_epiMax,1998-11-13,1998,317
TR,doc_epiMax,1999-10-18,1999,291
TR,totpuf_epiMax,1999-11-08,1999,312
TR,doc_epiMax,2000-09-19,2000,263
TR,totpuf_epiMax,2000-05-01,2000,122
TR,doc_epiMax,2001-06-27,2001,178
TR,totpuf_epiMax,2001-06-27,2001,178
TR,doc_epiMax,2002-08-13,2002,225
TR,totpuf_epiMax,2002-04-26,2002,116
TR,doc_epiMax,2003-11-21,2003,325
TR,totpuf_epiMax,2003-05-01,2003,121
TR,doc_epiMax,2004-07-20,2004,202
TR,totpuf_epiMax,2004-04-28,2004,119
TR,doc_epiMax,2005-07-13,2005,194
TR,totpuf_epiMax,2005-11-14,2005,318
TR,doc_epiMax,2006-07-10,2006,191
TR,totpuf_epiMax,2006-05-17,2006,137
TR,doc_epiMax,2007-07-17,2007,198
TR,totpuf_epiMax,2007-11-13,2007,317
TR,doc_epiMax,2008-08-27,2008,240
TR,totpuf_epiMax,2008-07-03,2008,185
TR,doc_epiMax,2009-07-20,2009,201
TR,totpuf_epiMax,2009-10-13,2009,286
TR,doc_epiMax,2010-07-07,2010,188
TR,totpuf_epiMax,2010-11-12,2010,316
TR,doc_epiMax,2011-08-25,2011,237
TR,totpuf_epiMax,2011-09-21,2011,264
TR,doc_epiMax,2012-07-24,2012,206
TR,totpuf_epiMax,2012-11-09,2012,314
TR,doc_epiMax,2013-09-05,2013,248
TR,totpuf_epiMax,2013-10-30,2013,303
TR,doc_epiMax,2014-07-16,2014,197
TR,totpuf_epiMax,2014-06-19,2014,170
TR,doc_epiMax,2015-09-11,2015,254
TR,totpuf_epiMax,2015-07-16,2015,197
TR,doc_epiMax,2016-07-22,2016,204
TR,totpuf_epiMax,2016-09-15,2016,259
TR,doc_epiMax,2017-08-10,2017,222
TR,totpuf_epiMax,2017-05-19,2017,139
TR,doc_epiMax,2018-07-12,2018,193
TR,totpuf_epiMax,2018-05-17,2018,137
WI,doc_epiMax,1996-07-10,1996,192
WI,totpuf_epiMax,1996-07-24,1996,206
WI,doc_epiMax,1997-07-08,1997,189
WI,totpuf_epiMax,1997-08-19,1997,231
WI,doc_epiMax,1998-06-10,1998,161
WI,totpuf_epiMax,1998-08-07,1998,219
WI,doc_epiMax,1999-10-25,1999,298
WI,totpuf_epiMax,1999-07-19,1999,200
WI,doc_epiMax,2000-11-20,2000,325
WI,totpuf_epiMax,2000-08-01,2000,214
WI,doc_epiMax,2001-08-28,2001,240
WI,totpuf_epiMax,2001-06-06,2001,157
WI,doc_epiMax,2002-09-26,2002,269
WI,totpuf_epiMax,2002-08-15,2002,227
WI,doc_epiMax,2003-09-04,2003,247
WI,totpuf_epiMax,2003-11-06,2003,310
WI,doc_epiMax,2004-05-13,2004,134
WI,totpuf_epiMax,2004-03-31,2004,91
WI,doc_epiMax,2005-09-29,2005,272
WI,totpuf_epiMax,2005-11-22,2005,326
WI,doc_epiMax,2006-08-09,2006,221
WI,totpuf_epiMax,2006-08-09,2006,221
WI,doc_epiMax,2007-10-31,2007,304
WI,totpuf_epiMax,2007-04-03,2007,93
WI,doc_epiMax,2008-10-06,2008,280
WI,totpuf_epiMax,2008-06-11,2008,163
WI,doc_epiMax,2009-11-04,2009,308
WI,totpuf_epiMax,2009-04-13,2009,103
WI,doc_epiMax,2010-06-10,2010,161
WI,totpuf_epiMax,2010-05-12,2010,132
WI,doc_epiMax,2011-06-15,2011,166
WI,totpuf_epiMax,2011-06-28,2011,179
WI,doc_epiMax,2012-10-30,2012,304
WI,totpuf_epiMax,2012-10-30,2012,304
WI,doc_epiMax,2013-05-15,2013,135
WI,totpuf_epiMax,2013-07-10,2013,191
WI,doc_epiMax,2014-06-12,2014,163
WI,totpuf_epiMax,2014-06-24,2014,175
WI,doc_epiMax,2015-10-15,2015,288
WI,totpuf_epiMax,2015-05-28,2015,148
WI,doc_epiMax,2016-08-03,2016,216
WI,totpuf_epiMax,2016-09-08,2016,252
WI,doc_epiMax,2017-08-09,2017,221
WI,totpuf_epiMax,2017-08-09,2017,221
WI,doc_epiMax,2018-06-14,2018,165
WI,totpuf_epiMax,2018-08-21,2018,233
AL,totpuf_hypoMin,1986-09-10,1986,253
AL,totpuf_hypoMin,1987-11-05,1987,309
AL,totpuf_hypoMin,1988-11-02,1988,307
AL,totpuf_hypoMin,1989-11-09,1989,313
AL,totpuf_hypoMin,1990-10-17,1990,290
AL,totpuf_hypoMin,1991-10-28,1991,301
AL,totpuf_hypoMin,1992-10-21,1992,295
AL,totpuf_hypoMin,1993-11-03,1993,307
AL,totpuf_hypoMin,1994-11-17,1994,321
AL,totpuf_hypoMin,1995-05-30,1995,150
AL,totpuf_hypoMin,1996-10-02,1996,276
AL,totpuf_hypoMin,1997-11-07,1997,311
AL,totpuf_hypoMin,1998-11-04,1998,308
AL,totpuf_hypoMin,1999-10-19,1999,292
AL,totpuf_hypoMin,2000-04-03,2000,94
AL,totpuf_hypoMin,2001-10-15,2001,288
AL,totpuf_hypoMin,2002-11-04,2002,308
AL,totpuf_hypoMin,2003-11-19,2003,323
AL,totpuf_hypoMin,2004-10-11,2004,285
AL,totpuf_hypoMin,2005-11-08,2005,312
AL,totpuf_hypoMin,2006-10-31,2006,304
AL,totpuf_hypoMin,2007-04-23,2007,113
AL,totpuf_hypoMin,2008-10-20,2008,294
AL,totpuf_hypoMin,2009-05-26,2009,146
AL,totpuf_hypoMin,2010-05-12,2010,132
AL,totpuf_hypoMin,2011-11-11,2011,315
AL,totpuf_hypoMin,2012-09-19,2012,263
AL,totpuf_hypoMin,2013-11-07,2013,311
AL,totpuf_hypoMin,2014-11-03,2014,307
AL,totpuf_hypoMin,2015-11-09,2015,313
AL,totpuf_hypoMin,2016-05-23,2016,144
AL,totpuf_hypoMin,2017-04-17,2017,107
AL,totpuf_hypoMin,2018-11-05,2018,309
BM,totpuf_hypoMin,1986-11-05,1986,309
BM,totpuf_hypoMin,1987-11-04,1987,308
BM,totpuf_hypoMin,1988-11-07,1988,312
BM,totpuf_hypoMin,1989-11-14,1989,318
BM,totpuf_hypoMin,1990-10-19,1990,292
BM,totpuf_hypoMin,1991-10-29,1991,302
BM,totpuf_hypoMin,1992-11-11,1992,316
BM,totpuf_hypoMin,1993-11-10,1993,314
BM,totpuf_hypoMin,1994-06-01,1994,152
BM,totpuf_hypoMin,1995-07-25,1995,206
BM,totpuf_hypoMin,1996-11-06,1996,311
BM,totpuf_hypoMin,1997-05-06,1997,126
BM,totpuf_hypoMin,1998-04-23,1998,113
BM,totpuf_hypoMin,1999-10-21,1999,294
BM,totpuf_hypoMin,2000-04-05,2000,96
BM,totpuf_hypoMin,2001-10-16,2001,289
BM,totpuf_hypoMin,2002-11-05,2002,309
BM,totpuf_hypoMin,2003-11-10,2003,314
BM,totpuf_hypoMin,2004-11-08,2004,313
BM,totpuf_hypoMin,2005-06-14,2005,165
BM,totpuf_hypoMin,2006-04-24,2006,114
BM,totpuf_hypoMin,2007-04-25,2007,115
BM,totpuf_hypoMin,2008-11-07,2008,312
BM,totpuf_hypoMin,2009-05-26,2009,146
BM,totpuf_hypoMin,2010-11-11,2010,315
BM,totpuf_hypoMin,2011-07-01,2011,182
BM,totpuf_hypoMin,2012-08-20,2012,233
BM,totpuf_hypoMin,2013-11-14,2013,318
CB,totpuf_hypoMin,1986-09-09,1986,252
CB,totpuf_hypoMin,1987-10-07,1987,280
CB,totpuf_hypoMin,1988-11-16,1988,321
CB,totpuf_hypoMin,1989-10-18,1989,291
CB,totpuf_hypoMin,1990-10-15,1990,288
CB,totpuf_hypoMin,1991-10-29,1991,302
CB,totpuf_hypoMin,1992-09-23,1992,267
CB,totpuf_hypoMin,1993-10-20,1993,293
CB,totpuf_hypoMin,1994-11-15,1994,319
CB,totpuf_hypoMin,1995-10-17,1995,290
CB,totpuf_hypoMin,1996-10-01,1996,275
CB,totpuf_hypoMin,1997-10-21,1997,294
CB,totpuf_hypoMin,1998-09-08,1998,251
CB,totpuf_hypoMin,1999-11-03,1999,307
CB,totpuf_hypoMin,2000-03-29,2000,89
CB,totpuf_hypoMin,2001-10-17,2001,290
CB,totpuf_hypoMin,2002-10-08,2002,281
CB,totpuf_hypoMin,2003-05-01,2003,121
CB,totpuf_hypoMin,2004-10-13,2004,287
CB,totpuf_hypoMin,2005-10-06,2005,279
CB,totpuf_hypoMin,2006-10-03,2006,276
CB,totpuf_hypoMin,2007-09-10,2007,253
CB,totpuf_hypoMin,2008-09-25,2008,269
CB,totpuf_hypoMin,2009-11-09,2009,313
CB,totpuf_hypoMin,2010-06-08,2010,159
CB,totpuf_hypoMin,2011-11-08,2011,312
CB,totpuf_hypoMin,2012-05-30,2012,151
CB,totpuf_hypoMin,2013-11-07,2013,311
CB,totpuf_hypoMin,2014-11-04,2014,308
CB,totpuf_hypoMin,2015-11-09,2015,313
CB,totpuf_hypoMin,2016-11-10,2016,315
CB,totpuf_hypoMin,2017-10-03,2017,276
CB,totpuf_hypoMin,2018-10-03,2018,276
CR,totpuf_hypoMin,1986-11-03,1986,307
