lakeid,metric,sampledate,year,daynum
CR,iceon,1997-11-24,1997,328
CR,iceon,1998-12-21,1998,355
CR,iceon,1999-12-17,1999,351
CR,iceon,2000-12-04,2000,339
CR,iceon,2001-12-26,2001,360
CR,iceon,2002-11-27,2002,331
CR,iceon,2003-12-03,2003,337
CR,iceon,2004-12-17,2004,352
CR,iceon,2005-12-03,2005,337
CR,iceon,2006-12-05,2006,339
CR,iceon,2007-12-03,2007,337
CR,iceon,2008-12-01,2008,336
CR,iceon,2009-12-11,2009,345
CR,iceon,2010-12-04,2010,338
CR,iceon,2011-12-05,2011,339
CR,iceon,2012-12-10,2012,345
CR,iceon,2013-11-27,2013,331
CR,iceon,2014-11-21,2014,325
CR,iceon,2015-12-28,2015,362
CR,iceon,2016-12-12,2016,347
CR,iceon,2017-12-11,2017,345
CR,iceon,2018-11-19,2018,323
CR,iceon,2019-12-02,2019,336
CR,iceon,2020-12-02,2020,337
SP,iceon,1981-12-11,1981,345
SP,iceon,1982-12-07,1982,341
SP,iceon,1983-12-03,1983,337
SP,iceon,1984-12-04,1984,339
SP,iceon,1985-11-25,1985,329
SP,iceon,1986-12-01,1986,335
SP,iceon,1987-12-03,1987,337
SP,iceon,1988-12-01,1988,336
SP,iceon,1989-11-27,1989,331
SP,iceon,1990-12-03,1990,337
SP,iceon,1991-11-29,1991,333
SP,iceon,1992-11-30,1992,335
SP,iceon,1993-11-30,1993,334
SP,iceon,1994-12-09,1994,343
SP,iceon,1995-11-24,1995,328
SP,iceon,1996-11-25,1996,330
SP,iceon,1997-12-22,1997,356
SP,iceon,1998-12-22,1998,356
SP,iceon,1999-12-17,1999,351
SP,iceon,2000-12-04,2000,339
SP,iceon,2001-12-26,2001,360
SP,iceon,2002-11-27,2002,331
SP,iceon,2003-12-03,2003,337
SP,iceon,2004-12-17,2004,352
SP,iceon,2005-12-03,2005,337
SP,iceon,2006-12-23,2006,357
SP,iceon,2007-12-03,2007,337
SP,iceon,2008-12-04,2008,339
SP,iceon,2009-12-11,2009,345
SP,iceon,2010-12-07,2010,341
SP,iceon,2011-12-06,2011,340
SP,iceon,2012-12-11,2012,346
SP,iceon,2013-11-27,2013,331
SP,iceon,2014-11-21,2014,325
SP,iceon,2015-12-28,2015,362
SP,iceon,2016-12-12,2016,347
SP,iceon,2017-12-11,2017,345
SP,iceon,2018-12-07,2018,341
SP,iceon,2019-12-02,2019,336
SP,iceon,2020-12-07,2020,342
TB,iceon,1981-11-24,1981,328
TB,iceon,1982-11-22,1982,326
TB,iceon,1983-11-14,1983,318
TB,iceon,1984-11-12,1984,317
TB,iceon,1985-11-14,1985,318
TB,iceon,1986-11-11,1986,315
TB,iceon,1987-11-23,1987,327
TB,iceon,1988-11-18,1988,323
TB,iceon,1989-11-14,1989,318
TB,iceon,1990-11-26,1990,330
TB,iceon,1991-11-04,1991,308
TB,iceon,1992-11-13,1992,318
TB,iceon,1993-11-08,1993,312
TB,iceon,1994-11-26,1994,330
TB,iceon,1995-11-09,1995,313
TB,iceon,1996-11-11,1996,316
TB,iceon,1997-11-13,1997,317
TB,iceon,1998-12-08,1998,342
TB,iceon,1999-11-27,1999,331
TB,iceon,2000-11-20,2000,325
TB,iceon,2001-12-07,2001,341
TB,iceon,2002-11-14,2002,318
TB,iceon,2003-11-10,2003,314
TB,iceon,2004-11-24,2004,329
TB,iceon,2005-11-22,2005,326
TB,iceon,2006-11-30,2006,334
TB,iceon,2007-11-16,2007,320
TB,iceon,2008-11-19,2008,324
TB,iceon,2009-12-01,2009,335
TB,iceon,2010-11-27,2010,331
TB,iceon,2011-11-18,2011,322
TB,iceon,2012-11-26,2012,331
TB,iceon,2013-11-19,2013,323
TB,iceon,2014-11-10,2014,314
TB,iceon,2015-11-23,2015,327
TB,iceon,2016-12-05,2016,340
TB,iceon,2017-11-10,2017,314
TB,iceon,2018-11-09,2018,313
TB,iceon,2019-11-06,2019,310
TB,iceon,2020-11-16,2020,321
TR,iceon,1981-12-20,1981,354
TR,iceon,1982-12-13,1982,347
TR,iceon,1983-12-03,1983,337
TR,iceon,1984-12-18,1984,353
TR,iceon,1985-12-04,1985,338
TR,iceon,1986-12-07,1986,341
TR,iceon,1987-12-22,1987,356
TR,iceon,1988-12-12,1988,347
TR,iceon,1989-12-01,1989,335
TR,iceon,1990-12-14,1990,348
TR,iceon,1991-12-02,1991,336
TR,iceon,1992-12-09,1992,344
TR,iceon,1993-11-30,1993,334
TR,iceon,1994-12-12,1994,346
TR,iceon,1995-11-29,1995,333
TR,iceon,1996-11-27,1996,332
TR,iceon,1997-12-22,1997,356
TR,iceon,1998-12-28,1998,362
TR,iceon,1999-12-20,1999,354
TR,iceon,2000-12-07,2000,342
TR,iceon,2001-12-31,2001,365
TR,iceon,2002-12-03,2002,337
TR,iceon,2003-12-03,2003,337
TR,iceon,2004-12-17,2004,352
TR,iceon,2005-12-08,2005,342
TR,iceon,2006-12-26,2006,360
TR,iceon,2007-12-10,2007,344
TR,iceon,2008-12-08,2008,343
TR,iceon,2009-12-17,2009,351
TR,iceon,2010-12-09,2010,343
TR,iceon,2012-01-03,2011,368
TR,iceon,2012-12-20,2012,355
TR,iceon,2013-12-08,2013,342
TR,iceon,2014-11-28,2014,332
TR,iceon,2016-01-04,2015,369
TR,iceon,2016-12-16,2016,351
TR,iceon,2017-12-14,2017,348
TR,iceon,2018-12-07,2018,341
TR,iceon,2019-12-11,2019,345
TR,iceon,2020-12-15,2020,350
ME,iceon,1991-12-18,1991,352
ME,iceon,1992-12-24,1992,359
ME,iceon,1993-12-27,1993,361
ME,iceon,1995-01-06,1994,371
ME,iceon,1995-12-10,1995,344
ME,iceon,1996-12-20,1996,355
ME,iceon,1998-01-11,1997,376
ME,iceon,1998-12-30,1998,364
ME,iceon,2000-01-14,1999,379
ME,iceon,2000-12-13,2000,348
ME,iceon,2002-01-02,2001,367
ME,iceon,2003-01-04,2002,369
ME,iceon,2004-01-07,2003,372
ME,iceon,2004-12-25,2004,360
ME,iceon,2005-12-19,2005,353
ME,iceon,2007-01-20,2006,385
ME,iceon,2007-12-26,2007,360
ME,iceon,2008-12-16,2008,351
ME,iceon,2009-12-29,2009,363
ME,iceon,2010-12-15,2010,349
ME,iceon,2012-01-14,2011,379
ME,iceon,2013-01-14,2012,379
ME,iceon,2013-12-16,2013,350
ME,iceon,2015-01-02,2014,367
ME,iceon,2016-01-11,2015,376
ME,iceon,2017-01-01,2016,366
ME,iceon,2017-12-27,2017,361
ME,iceon,2018-12-15,2018,349
ME,iceon,2020-01-12,2019,377
MO,iceon,1991-12-16,1991,350
MO,iceon,1992-12-24,1992,359
MO,iceon,1993-12-26,1993,360
MO,iceon,1995-01-05,1994,370
MO,iceon,1995-11-29,1995,333
MO,iceon,1996-12-20,1996,355
MO,iceon,1998-01-11,1997,376
MO,iceon,1998-12-30,1998,364
MO,iceon,2000-01-14,1999,379
MO,iceon,2000-12-13,2000,348
MO,iceon,2002-01-01,2001,366
MO,iceon,2002-12-09,2002,343
MO,iceon,2003-12-25,2003,359
