lakeid,metric,sampledate,year,daynum
MO,iceon,1983-01-09,1982,374
MO,iceon,1983-12-18,1983,352
MO,iceon,1984-12-24,1984,359
MO,iceon,1985-12-06,1985,340
MO,iceon,1986-12-13,1986,347
MO,iceon,1987-12-25,1987,359
MO,iceon,1988-12-29,1988,364
MO,iceon,1989-12-07,1989,341
MO,iceon,1990-12-23,1990,357
MO,iceon,1991-12-16,1991,350
MO,iceon,1992-12-24,1992,359
MO,iceon,1993-12-26,1993,360
MO,iceon,1995-01-05,1994,370
MO,iceon,1995-11-29,1995,333
MO,iceon,1996-12-20,1996,355
MO,iceon,1998-01-11,1997,376
MO,iceon,1998-12-30,1998,364
MO,iceon,2000-01-14,1999,379
MO,iceon,2000-12-13,2000,348
MO,iceon,2002-01-01,2001,366
MO,iceon,2002-12-09,2002,343
MO,iceon,2003-12-25,2003,359
MO,iceon,2004-12-24,2004,359
MO,iceon,2005-12-08,2005,342
MO,iceon,2007-01-18,2006,383
MO,iceon,2007-12-07,2007,341
MO,iceon,2008-12-16,2008,351
MO,iceon,2009-12-27,2009,361
MO,iceon,2010-12-09,2010,343
MO,iceon,2012-01-03,2011,368
MO,iceon,2012-12-31,2012,366
MO,iceon,2013-12-10,2013,344
MO,iceon,2014-12-02,2014,336
MO,iceon,2016-01-11,2015,376
MO,iceon,2016-12-16,2016,351
MO,iceon,2017-12-26,2017,360
MO,iceon,2018-12-11,2018,345
WI,iceon,1979-12-01,1979,335
WI,iceon,1980-12-02,1980,337
WI,iceon,1981-11-29,1981,333
WI,iceon,1982-12-09,1982,343
WI,iceon,1983-12-09,1983,343
WI,iceon,1984-11-18,1984,323
WI,iceon,1985-11-25,1985,329
WI,iceon,1986-11-13,1986,317
WI,iceon,1987-12-05,1987,339
WI,iceon,1988-12-08,1988,343
WI,iceon,1989-11-22,1989,326
WI,iceon,1990-12-04,1990,338
WI,iceon,1991-11-05,1991,309
WI,iceon,1992-11-15,1992,320
WI,iceon,1993-11-28,1993,332
WI,iceon,1994-12-08,1994,342
WI,iceon,1995-11-12,1995,316
WI,iceon,1996-11-27,1996,332
WI,iceon,1997-12-08,1997,342
WI,iceon,1998-12-22,1998,356
WI,iceon,1999-12-18,1999,352
WI,iceon,2000-11-21,2000,326
WI,iceon,2001-12-24,2001,358
WI,iceon,2002-12-02,2002,336
WI,iceon,2003-12-09,2003,343
WI,iceon,2004-12-14,2004,349
WI,iceon,2005-11-25,2005,329
WI,iceon,2006-12-03,2006,337
WI,iceon,2007-11-30,2007,334
WI,iceon,2008-11-22,2008,327
WI,iceon,2009-12-10,2009,344
WI,iceon,2010-12-04,2010,338
WI,iceon,2011-12-11,2011,345
WI,iceon,2012-12-21,2012,356
WI,iceon,2013-11-27,2013,331
WI,iceon,2014-11-14,2014,318
WI,iceon,2015-12-30,2015,364
WI,iceon,2016-12-09,2016,344
WI,iceon,2017-12-10,2017,344
WI,iceon,2018-12-07,2018,341
AL,iceoff,NA,1981,NA
AL,iceoff,NA,1982,NA
AL,iceoff,1983-04-26,1983,116
AL,iceoff,1984-04-19,1984,110
AL,iceoff,1985-04-19,1985,109
AL,iceoff,1986-04-11,1986,101
AL,iceoff,1987-04-09,1987,99
AL,iceoff,1988-04-11,1988,102
AL,iceoff,1989-04-24,1989,114
AL,iceoff,1990-04-16,1990,106
AL,iceoff,1991-04-17,1991,107
AL,iceoff,1992-04-27,1992,118
AL,iceoff,1993-04-30,1993,120
AL,iceoff,1994-04-18,1994,108
